link	wikipedia_page	anchor_text	page_heading	surrounding_paragraph
https://www.wshu.org/2023-05-01/wshu-podcast-nominated-for-peabody-award	https://en.wikipedia.org/wiki/Talk:List_of_Peabody_Award_winners_(2020%E2%80%932029)	WSHU podcast nominated for Peabody Award	Talk:List of Peabody Award winners (2020–2029)	"Sources:2023 Peabody Awards Nominations Include ‘The Territory’ and ‘George Carlin’s American Dream’|IndieWire
Peabodys Unveil Documentary And News Nominees Including ‘Lucy And Desi’, ‘We Need To Talk About Cosby’, ‘Frontline’, More - Deadline2023 Peabody Awards Nominations - Full List Of Nominees - Deadline WSHU podcast nominated for Peabody AwardEspngeek (talk) 18:39, 13 April 2023 (UTC)Reply[reply]"
https://musicbrainz.org/release-group/cac26047-bc31-3d09-a85d-09b7e0a42749	https://en.wikipedia.org/wiki/File:Lucy_(Maaya_Sakamoto_album).jpg	[1]	File:Lucy (Maaya Sakamoto album).jpg	May be found at the following website: [1]
https://www.discogs.com/master/1799123-Lucy-Woodward-IsHot-Bothered	https://en.wikipedia.org/wiki/File:Lucy_Woodward_Is...Hot_and_Bothered.jpg	[1]	File:Lucy Woodward Is...Hot and Bothered.jpg	May be found at the following website: [1]
https://www.discogs.com/release/26542496-Pritam-Ludo	https://en.wikipedia.org/wiki/File:Ludo_(soundtrack).jpg	[1]	File:Ludo (soundtrack).jpg	May be found at the following website: [1]
https://dmsu.gov.ua/services/transliteration.html	https://en.wikipedia.org/wiki/User_talk:Andriyrussu	https://dmsu.gov.ua/services/transliteration.html	User talk:Andriyrussu	"Please stop moving pages.
All names are according to official transliteration taken from https://dmsu.gov.ua/services/transliteration.html
Most players profiles on UAF have that spelling. Ceriy (talk) 00:09, 2 May 2023 (UTC)Reply[reply]"
https://musicbrainz.org/release-group/290aa698-d701-39a4-b8e8-aeab9f14b6f9	https://en.wikipedia.org/wiki/File:Luigi%27s_Doghouse.jpg	[1]	File:Luigi's Doghouse.jpg	May be found at the following website: [1]
https://www.discogs.com/release/14623456-Melissa-Errico-Lullabies-WildFlowers	https://en.wikipedia.org/wiki/File:Lullabies_%26_Wildflowers.jpg	[1]	File:Lullabies & Wildflowers.jpg	May be found at the following website: [1]
https://ahluwalia.world/pages/about	https://en.wikipedia.org/wiki/User_talk:310001_art	Ahluwalia	User talk:310001 art	British fashion designer Priya Ahluwalia is the UK-based creator of the clothing line Ahluwalia. She has been repeatedly praised for her ethical and environmentally friendly fashion design methods as well as for incorporating themes of identity and tradition into her designs. 310001 art (talk) 00:11, 2 May 2023 (UTC)Reply[reply]
https://www.discogs.com/master/565910-James-Walsh-Lullaby	https://en.wikipedia.org/wiki/File:Lullaby_(James_Walsh_album).jpg	[1]	File:Lullaby (James Walsh album).jpg	May be found at the following website: [1]
https://musicbrainz.org/release-group/61076dd4-cedc-37c5-8c07-744dd5821f66	https://en.wikipedia.org/wiki/File:Luminaria_(album).jpg	[1]	File:Luminaria (album).jpg	May be found at the following website: [1]
http://www.essentialvermeer.com/history/neighbours-slager.pdf	https://en.wikipedia.org/wiki/Talk:Maria_de_Knuijt	http://www.essentialvermeer.com/history/neighbours-slager.pdf	Talk:Maria de Knuijt	"@CaroleHenson and Drmies:, I don't know how reliable this is, but according to H. G. Slager at http://www.essentialvermeer.com/history/neighbours-slager.pdf: 
"
https://www.discogs.com/release/9150099-The-Sunshine-Underground-Luminescent	https://en.wikipedia.org/wiki/File:Luminescent_(album).jpg	[1]	File:Luminescent (album).jpg	May be found at the following website: [1]
https://www.discogs.com/release/11007763-John-Hicks-Elise-Wood-John-Hicks-Elise-Wood-Inc-Luminous	https://en.wikipedia.org/wiki/File:Luminous_(John_Hicks_and_Elise_Wood_album).jpg	[1]	File:Luminous (John Hicks and Elise Wood album).jpg	May be found at the following website: [1]
https://www.discogs.com/release/13648666-Harry-And-The-Potters-Lumos	https://en.wikipedia.org/wiki/File:Lumos_(album).jpg	[1]	File:Lumos (album).jpg	May be found at the following website: [1]
https://ghanasoccernet.com/exclusive-former-great-olympics-midfielder-james-akaminko-opens-up-on-life-at-azam-fc-in-tanzania	https://en.wikipedia.org/wiki/James_Akaminko	[1]	James Akaminko	James Akaminko (born 16 September 1995) is a Ghanaian football midfielder who plays for Azam F.C. [1]
